Discharge Time (s),Max. Voltage Dischar. (V),Min. Voltage Charg. (V),Time at 4.15V (s),Time constant current (s),Charging time (s),RUL
1220.64,4.078,2.773,386.91,1530.38,2590.44,64.3
1472.35,4.213,2.96,641.4,1951.41,3020.63,161.7
1334.16,4.155,2.879,552.48,1808.56,2766.54,124.7
1289.61,4.067,2.82,474.23,1778.28,2701.8,102.2
1067.6,4.002,2.631,310.17,1397.95,2423.63,27.4
1065.93,4.025,2.716,314.59,1388.76,2407.9,27.4
1051.2,3.998,2.73,301.85,1319.75,2392.96,10.8
1385.88,4.166,2.946,590.69,1946.3,2940.06,147.4
1251.67,4.097,2.86,476.81,1713.82,2747.53,102.6
1342.67,4.111,2.877,511.59,1803.11,2759.14,120.7
1024.55,4.036,2.678,314.32,1301.94,2408.95,4.5
1491.7,4.194,3.006,626.97,1992.67,2992.84,164.9
1454.65,4.178,2.892,563.23,1862.6,2821.2,141.7
1108.28,4.036,2.761,363.78,1426.92,2417.35,36.9
1107.39,4.03,2.748,332.88,1380.39,2414.79,31.7
1068.73,4.028,2.719,345.28,1386.81,2512.3,32.0
1165.66,4.032,2.695,362.95,1500.11,2492.04,52.4
1236.89,4.07,2.83,460.73,1621.18,2633.05,89.7
1207.26,4.089,2.762,430.65,1579.43,2656.57,74.0
1137.88,4.056,2.757,355.06,1465.31,2554.04,50.2
1318.97,4.138,2.797,478.03,1672.16,2712.14,104.4
1041.58,4.035,2.72,310.7,1379.07,2437.32,24.6
1083.93,4.036,2.749,364.19,1500.24,2508.75,50.4
1169.5,4.09,2.699,420.9,1489.52,2593.43,62.9
1228.64,4.102,2.844,432.03,1611.04,2616.83,78.1
1386.36,4.169,2.899,584.96,1801.66,2873.72,133.7
1130.96,4.078,2.723,364.87,1453.83,2457.99,34.7
1255.86,4.139,2.828,466.22,1651.67,2644.72,87.9
1269.32,4.129,2.835,500.39,1652.16,2758.53,101.1
977.48,4.012,2.708,314.56,1335.52,2358.09,8.9
1285.05,4.14,2.807,509.95,1684.32,2770.84,103.7
1113.27,4.015,2.72,341.82,1364.32,2458.1,29.8
1033.43,3.993,2.643,312.75,1343.95,2365.96,12.0
1472.1,4.203,3.0,636.64,1996.51,3011.94,161.4
1491.25,4.176,3.067,627.74,1987.57,2986.61,164.2
1369.51,4.172,2.874,578.2,1841.54,2887.19,137.6
1162.21,4.058,2.745,395.07,1490.75,2515.44,52.5
1097.67,3.995,2.644,302.89,1326.62,2370.87,17.5
